epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202046,2020-11-14,213,BA,Curaçá,2909901,city,442,1266.98389,3,4,0,0.009,34886,False,False
202046,2020-11-14,201,BA,Dário Meira,2910008,city,565,5368.17102,0,11,0,0.0195,10525,False,False
202046,2020-11-14,230,BA,Dias d'Ávila,2910057,city,1737,2107.19138,8,38,0,0.0219,82432,False,False
202046,2020-11-14,189,BA,Dom Basílio,2910107,city,192,1568.62745,0,0,0,0.0,12240,False,False
202046,2020-11-14,160,BA,Dom Macedo Costa,2910206,city,154,3788.43788,0,2,0,0.013,4065,False,False
202046,2020-11-14,160,BA,Elísio Medrado,2910305,city,162,1993.60079,0,3,0,0.0185,8126,False,False
202046,2020-11-14,187,BA,Encruzilhada,2910404,city,277,1684.30013,1,7,0,0.0253,16446,False,False
202046,2020-11-14,187,BA,Entre Rios,2910503,city,472,1126.46476,2,5,0,0.0106,41901,False,False
202046,2020-11-14,160,BA,Érico Cardoso,2900504,city,7,66.28788,0,1,0,0.1429,10560,False,False
202046,2020-11-14,176,BA,Esplanada,2910602,city,393,1045.82468,1,8,0,0.0204,37578,False,False
202046,2020-11-14,221,BA,Euclides da Cunha,2910701,city,279,458.44425,2,7,0,0.0251,60858,False,False
202046,2020-11-14,214,BA,Eunápolis,2910727,city,3481,3042.93856,20,73,0,0.021,114396,False,False
202046,2020-11-14,172,BA,Fátima,2910750,city,509,2852.33959,0,5,0,0.0098,17845,False,False
202046,2020-11-14,160,BA,Feira da Mata,2910776,city,36,635.93005,0,1,0,0.0278,5661,False,False
202046,2020-11-14,254,BA,Feira de Santana,2910800,city,17074,2755.60878,150,280,1,0.0164,619609,False,False
202046,2020-11-14,168,BA,Filadélfia,2910859,city,582,3560.72193,4,11,0,0.0189,16345,False,False
202046,2020-11-14,165,BA,Firmino Alves,2910909,city,112,1989.69622,1,3,0,0.0268,5629,False,False
202046,2020-11-14,215,BA,Floresta Azul,2911006,city,392,3706.85579,0,12,0,0.0306,10575,False,False
202046,2020-11-14,164,BA,Formosa do Rio Preto,2911105,city,332,1283.98499,10,6,0,0.0181,25857,False,False
